,game_id,week,season,posteam,defteam,run_epa,run_count
6,2021_01_ARI_TEN,1,2021.0,ARI,TEN,0.5897454318381032,33
13,2021_01_ARI_TEN,1,2021.0,TEN,ARI,-4.2087072872091085,22
21,2021_01_BAL_LV,1,2021.0,BAL,LV,-5.519841350104947,33
29,2021_01_BAL_LV,1,2021.0,LV,BAL,-8.084730758942897,21
35,2021_01_CHI_LA,1,2021.0,CHI,LA,3.9156958522507916,26
43,2021_01_CHI_LA,1,2021.0,LA,CHI,1.5975595129129943,19
49,2021_01_CLE_KC,1,2021.0,CLE,KC,4.9146887105163195,27
57,2021_01_CLE_KC,1,2021.0,KC,CLE,0.9441924845450557,21
64,2021_01_DAL_TB,1,2021.0,DAL,TB,-4.7335089024172134,18
71,2021_01_DAL_TB,1,2021.0,TB,DAL,-4.603938021347858,14
77,2021_01_DEN_NYG,1,2021.0,DEN,NYG,0.3164655564999128,28
85,2021_01_DEN_NYG,1,2021.0,NYG,DEN,-0.2567873961525038,19
91,2021_01_GB_NO,1,2021.0,GB,NO,-2.388807463808916,15
99,2021_01_GB_NO,1,2021.0,NO,GB,0.8006585155380892,37
107,2021_01_JAX_HOU,1,2021.0,HOU,JAX,-2.459740997003774,40
115,2021_01_JAX_HOU,1,2021.0,JAX,HOU,0.9942300176480785,15
123,2021_01_LAC_WAS,1,2021.0,LAC,WAS,-2.0211150451214053,26
130,2021_01_LAC_WAS,1,2021.0,WAS,LAC,-5.391469053386291,27
138,2021_01_MIA_NE,1,2021.0,MIA,NE,0.2567619054461828,20
145,2021_01_MIA_NE,1,2021.0,NE,MIA,-4.9863849298562855,30
153,2021_01_MIN_CIN,1,2021.0,CIN,MIN,-5.981537235114956,36
161,2021_01_MIN_CIN,1,2021.0,MIN,CIN,-7.616133847244782,22
169,2021_01_NYJ_CAR,1,2021.0,CAR,NYJ,-3.7871202897804324,24
174,2021_01_NYJ_CAR,1,2021.0,NYJ,CAR,-3.7839654447888025,18
180,2021_01_PHI_ATL,1,2021.0,ATL,PHI,-1.9056270966539155,26
188,2021_01_PHI_ATL,1,2021.0,PHI,ATL,2.260048283418805,32
195,2021_01_PIT_BUF,1,2021.0,BUF,PIT,-1.6760541429102878,25
203,2021_01_PIT_BUF,1,2021.0,PIT,BUF,-2.338205850624945,18
210,2021_01_SEA_IND,1,2021.0,IND,SEA,-7.232013080778298,31
216,2021_01_SEA_IND,1,2021.0,SEA,IND,-1.6345664036925889,27
223,2021_01_SF_DET,1,2021.0,DET,SF,0.2686919724801555,24
232,2021_01_SF_DET,1,2021.0,SF,DET,-5.737077595375116,27
239,2021_02_ATL_TB,2,2021.0,ATL,TB,-9.901439488064964,21
246,2021_02_ATL_TB,2,2021.0,TB,ATL,1.7925405944697559,18
254,2021_02_BUF_MIA,2,2021.0,BUF,MIA,10.73801777564222,28
260,2021_02_BUF_MIA,2,2021.0,MIA,BUF,-6.472921846143436,19
268,2021_02_CIN_CHI,2,2021.0,CHI,CIN,-6.653188571042847,31
275,2021_02_CIN_CHI,2,2021.0,CIN,CHI,-3.858826576150023,20
282,2021_02_DAL_LAC,2,2021.0,DAL,LAC,7.841782716555559,31
287,2021_02_DAL_LAC,2,2021.0,LAC,DAL,2.3207711573196574,20
295,2021_02_DEN_JAX,2,2021.0,DEN,JAX,0.314652721601306,28
302,2021_02_DEN_JAX,2,2021.0,JAX,DEN,1.3044561845599676,16
309,2021_02_DET_GB,2,2021.0,DET,GB,0.10033229563850865,19
316,2021_02_DET_GB,2,2021.0,GB,DET,-0.6501644683594348,27
324,2021_02_HOU_CLE,2,2021.0,CLE,HOU,5.391962993198773,31
331,2021_02_HOU_CLE,2,2021.0,HOU,CLE,-3.7716526112635615,28
340,2021_02_KC_BAL,2,2021.0,BAL,KC,13.172484696027823,40
346,2021_02_KC_BAL,2,2021.0,KC,BAL,-2.9243989811511706,18
353,2021_02_LA_IND,2,2021.0,IND,LA,-0.913460747513454,26
359,2021_02_LA_IND,2,2021.0,LA,IND,-7.3703122958526315,29
366,2021_02_LV_PIT,2,2021.0,LV,PIT,-6.696760094679302,25
373,2021_02_LV_PIT,2,2021.0,PIT,LV,-2.6156778237200338,14
380,2021_02_MIN_ARI,2,2021.0,ARI,MIN,2.411077257682336,21
387,2021_02_MIN_ARI,2,2021.0,MIN,ARI,4.576663177576847,27
394,2021_02_NE_NYJ,2,2021.0,NE,NYJ,1.2914840841858732,24
401,2021_02_NE_NYJ,2,2021.0,NYJ,NE,2.2292017891681466,30
408,2021_02_NO_CAR,2,2021.0,CAR,NO,-6.1457645694144105,33
415,2021_02_NO_CAR,2,2021.0,NO,CAR,-3.770524538587779,16
423,2021_02_NYG_WAS,2,2021.0,NYG,WAS,2.228113715309607,27
431,2021_02_NYG_WAS,2,2021.0,WAS,NYG,5.956826676956514,22
438,2021_02_SF_PHI,2,2021.0,PHI,SF,1.355556353813831,29
446,2021_02_SF_PHI,2,2021.0,SF,PHI,-0.17651234743837668,35
453,2021_02_TEN_SEA,2,2021.0,SEA,TEN,-0.2410844670375808,18
461,2021_02_TEN_SEA,2,2021.0,TEN,SEA,5.925533575545797,39
468,2021_03_ARI_JAX,3,2021.0,ARI,JAX,1.965717681800016,30
475,2021_03_ARI_JAX,3,2021.0,JAX,ARI,2.7580398194259033,29
482,2021_03_ATL_NYG,3,2021.0,ATL,NYG,-3.2024276626198245,20
489,2021_03_ATL_NYG,3,2021.0,NYG,ATL,-2.049465795558497,27
497,2021_03_BAL_DET,3,2021.0,BAL,DET,-4.031432159276652,22
504,2021_03_BAL_DET,3,2021.0,DET,BAL,-4.732046692255816,27
512,2021_03_CAR_HOU,3,2021.0,CAR,HOU,0.9803730183048178,30
520,2021_03_CAR_HOU,3,2021.0,HOU,CAR,-6.7462557921535335,17
526,2021_03_CHI_CLE,3,2021.0,CHI,CLE,-3.6286746088722435,13
535,2021_03_CHI_CLE,3,2021.0,CLE,CHI,5.192270463301839,40
543,2021_03_CIN_PIT,3,2021.0,CIN,PIT,-2.780524076661095,21
550,2021_03_CIN_PIT,3,2021.0,PIT,CIN,-3.917822380142752,15
558,2021_03_GB_SF,3,2021.0,GB,SF,-0.315033566963393,25
564,2021_03_GB_SF,3,2021.0,SF,GB,2.1035573587578256,21
571,2021_03_IND_TEN,3,2021.0,IND,TEN,5.977761615143297,18
579,2021_03_IND_TEN,3,2021.0,TEN,IND,3.604993809931446,36
586,2021_03_LAC_KC,3,2021.0,KC,LAC,1.3146724323742092,30
594,2021_03_LAC_KC,3,2021.0,LAC,KC,-1.95728203386534,21
602,2021_03_MIA_LV,3,2021.0,LV,MIA,-5.42093994456809,33
610,2021_03_MIA_LV,3,2021.0,MIA,LV,-2.850258464750368,27
617,2021_03_NO_NE,3,2021.0,NE,NO,-1.8068669378408233,17
625,2021_03_NO_NE,3,2021.0,NO,NE,-1.3253962136167412,36
633,2021_03_NYJ_DEN,3,2021.0,DEN,NYJ,-12.811219503581144,36
638,2021_03_NYJ_DEN,3,2021.0,NYJ,DEN,-2.986663809453603,13
645,2021_03_PHI_DAL,3,2021.0,DAL,PHI,-4.885265231801895,38
651,2021_03_PHI_DAL,3,2021.0,PHI,DAL,-4.592849081789609,12
658,2021_03_SEA_MIN,3,2021.0,MIN,SEA,-2.3436241746530864,34
665,2021_03_SEA_MIN,3,2021.0,SEA,MIN,4.294268189056311,18
673,2021_03_TB_LA,3,2021.0,LA,TB,-3.8930420257383958,22
680,2021_03_TB_LA,3,2021.0,TB,LA,-0.15947061136830587,13
688,2021_03_WAS_BUF,3,2021.0,BUF,WAS,0.5623755030974285,30
694,2021_03_WAS_BUF,3,2021.0,WAS,BUF,-9.040632240241393,25
702,2021_04_ARI_LA,4,2021.0,ARI,LA,8.409241776937904,38
710,2021_04_ARI_LA,4,2021.0,LA,ARI,-1.7917652503820134,22
717,2021_04_BAL_DEN,4,2021.0,BAL,DEN,-3.2877989902626723,30
723,2021_04_BAL_DEN,4,2021.0,DEN,BAL,3.4161125732352957,17
730,2021_04_CAR_DAL,4,2021.0,CAR,DAL,7.0273778513656,24
738,2021_04_CAR_DAL,4,2021.0,DAL,CAR,7.882117454138351,32
744,2021_04_CLE_MIN,4,2021.0,CLE,MIN,0.8230200179095843,38
751,2021_04_CLE_MIN,4,2021.0,MIN,CLE,-6.411836098704953,22
759,2021_04_DET_CHI,4,2021.0,CHI,DET,7.413015584577806,37
765,2021_04_DET_CHI,4,2021.0,DET,CHI,-8.159834261750802,25
773,2021_04_HOU_BUF,4,2021.0,BUF,HOU,5.699347132095389,38
778,2021_04_HOU_BUF,4,2021.0,HOU,BUF,-6.597374394186772,18
786,2021_04_IND_MIA,4,2021.0,IND,MIA,1.9799049788271081,30
793,2021_04_IND_MIA,4,2021.0,MIA,IND,-4.209695093042683,16
800,2021_04_JAX_CIN,4,2021.0,CIN,JAX,0.40535682536257217,22
806,2021_04_JAX_CIN,4,2021.0,JAX,CIN,3.6767497783876024,30
812,2021_04_KC_PHI,4,2021.0,KC,PHI,10.220597585925134,31
818,2021_04_KC_PHI,4,2021.0,PHI,KC,4.057571596855366,19
825,2021_04_LV_LAC,4,2021.0,LAC,LV,1.1399413579492828,32
832,2021_04_LV_LAC,4,2021.0,LV,LAC,-5.476535347697791,18
839,2021_04_NYG_NO,4,2021.0,NO,NYG,-0.4562562534119929,39
846,2021_04_NYG_NO,4,2021.0,NYG,NO,-1.9404221035729505,21
854,2021_04_PIT_GB,4,2021.0,GB,PIT,-0.8360242836934049,31
861,2021_04_PIT_GB,4,2021.0,PIT,GB,2.262745884654578,16
868,2021_04_SEA_SF,4,2021.0,SEA,SF,0.9702482595457695,26
875,2021_04_SEA_SF,4,2021.0,SF,SEA,-0.6809867226546635,30
883,2021_04_TB_NE,4,2021.0,NE,TB,-3.425334646482952,7
891,2021_04_TB_NE,4,2021.0,TB,NE,4.894323247426655,27
899,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,-7.355571862148528,24
906,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,1.7918893523902468,37
914,2021_04_WAS_ATL,4,2021.0,ATL,WAS,-4.894475303241052,28
922,2021_04_WAS_ATL,4,2021.0,WAS,ATL,-2.7389447385356758,28
930,2021_05_BUF_KC,5,2021.0,BUF,KC,3.5133582589915022,25
937,2021_05_BUF_KC,5,2021.0,KC,BUF,-2.5842351450992282,23
945,2021_05_CHI_LV,5,2021.0,CHI,LV,-6.125986060239988,37
951,2021_05_CHI_LV,5,2021.0,LV,CHI,-1.5874090862926094,22
959,2021_05_CLE_LAC,5,2021.0,CLE,LAC,9.536287536204327,35
966,2021_05_CLE_LAC,5,2021.0,LAC,CLE,8.418980488189963,23
973,2021_05_DEN_PIT,5,2021.0,DEN,PIT,0.6199655677191913,18
981,2021_05_DEN_PIT,5,2021.0,PIT,DEN,-1.0950400968768887,34
987,2021_05_DET_MIN,5,2021.0,DET,MIN,1.0673248184320985,24
995,2021_05_DET_MIN,5,2021.0,MIN,DET,-9.007892303867266,28
1002,2021_05_GB_CIN,5,2021.0,CIN,GB,-1.5945279351979937,24
1010,2021_05_GB_CIN,5,2021.0,GB,CIN,-0.1585789297040452,22
1016,2021_05_IND_BAL,5,2021.0,BAL,IND,-11.258239146627485,26
1023,2021_05_IND_BAL,5,2021.0,IND,BAL,3.410973028168992,26
1031,2021_05_LA_SEA,5,2021.0,LA,SEA,0.13519856416125264,28
1038,2021_05_LA_SEA,5,2021.0,SEA,LA,-7.227231994271278,25
1045,2021_05_MIA_TB,5,2021.0,MIA,TB,-0.31702004210092116,9
1054,2021_05_MIA_TB,5,2021.0,TB,MIA,2.820375616897283,22
1061,2021_05_NE_HOU,5,2021.0,HOU,NE,-7.058863230457064,24
1069,2021_05_NE_HOU,5,2021.0,NE,HOU,-8.015197527982764,30
1075,2021_05_NO_WAS,5,2021.0,NO,WAS,0.59208285517525,18
1082,2021_05_NO_WAS,5,2021.0,WAS,NO,2.137330052471952,33
